player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2021,RS,MIA,953,441,-3.883689217390994,4.240620467082259,.3569312496912649,-1.941474137735296,-.7105302970277619,-2.652004434763058,-3.667828793474302,3.407847438801108,-.2599813546731937,.5646890921986666,.5646890921986666,0,-3.939073476557538,2.160253300606349,-1.778820175951189,.8024798619552195
Jaylen Adams,adamsja01,2021,RS,MIL,41,18,-13.04957571580503,-5.753852450493733,-18.80342816629876,-27.41164624308036,7.191961981990969,-20.21968426108939,-16.98556970409026,-3.494442513748332,-20.48001221783859,-.1599407218452378,-.1599407218452378,0,-13.10552810076335,-6.197923833705667,-19.30345193446902,-1.794154868172285
Steven Adams,adamsst01,2021,RS,NOP,1543,760,-.3487066180901724,1.361632869869654,1.012926251779482,4.587088114362595,-1.975219703841027,2.611868410521569,.6393378322379391,.8188371693064505,1.45817500154439,1.611681831562009,1.611681831562009,0,1.158152686894002,1.22583890917132,2.383991596065322,-1.244179422249046
Bam Adebayo,adebaba01,2021,RS,MIA,2023,982,.0443566511081312,2.358726528832944,2.403083179941075,1.041469917862173,.3921598831847053,1.433629801046878,.3341915975516522,2.056457484361125,2.390649081912777,2.558547186624197,2.558547186624197,0,-.2987481943590911,1.263063854869397,.9643156605103056,-.6685464549274002
LaMarcus Aldridge,aldrila01,2021,RS,SAS,1005,480,-3.068188385539766,-.7838976666388562,-3.852086052178622,-.0524241740683606,-6.897771736578465,-6.950195910646826,-2.60854113184307,-2.082697529652651,-4.691238661495721,-.4719282810760148,-.4719282810760148,0,-2.576839746410818,-1.516234783210746,-4.093074529621564,-.7399042174548059
Nickeil Alexander-Walker,alexani01,2021,RS,NOP,938,448,-.8458670111429114,1.912984753607078,1.067117742464166,-3.173107913073074,.0964186457648993,-3.076689267308175,-1.450367944922166,1.715310749507563,.264942804585397,.6913913828088031,.6913913828088031,0,.3785743886301534,1.476879830849684,1.855454219479837,.333172369494117
Ty-Shon Alexander,alexaty01,2021,RS,PHO,15,8,-9.29679661731495,-12.68443940912395,-21.9812360264389,-31.21828361868611,-4.334899172148193,-35.5531827908343,-14.47620453077896,-11.73752406471676,-26.21372859549572,-.0925721783440473,-.0925721783440473,0,-12.99388835140006,-7.930238903853039,-20.9241272552531,-3.381114213904846
Grayson Allen,allengr01,2021,RS,MEM,1092,510,-.0961583430434303,.6378657184832424,.5417073754398121,-.9295953647016981,4.040359855342948,3.11076449064125,-.252738166459005,1.386234754831041,1.133496588372036,1.01591257186899,1.01591257186899,0,-.3346914712904228,.6520517745220925,.3173603032316697,.5430984421670958
Jarrett Allen,allenja01,2021,RS,BRK,690,320,.9997620439983794,4.145485314897138,5.145247358895517,2.014331350180088,3.460875206084776,5.475206556264864,1.2053533772013,4.313276586550352,5.518629963751652,1.358595631849155,1.358595631849155,0,1.825515456847092,2.753142279410115,4.578657736257207,.6471135681200711
Jarrett Allen,allenja01,2021,RS,CLE,1079,523,.8617511512735113,2.711453541969059,3.57320469324257,.7796897093228826,-4.448045140734616,-3.668355431411733,.9832191951965779,1.437940438690049,2.421159633886626,1.374632135101777,1.374632135101777,0,.1217210644129743,.9857652285221002,1.107486292935075,-.3825451102635698
